id_inmueble,fecha_publicacion,tipo_inmueble,ciudad,superficie_m2,habitaciones,banos,tiene_ascensor,certificacion_energetica,precio,estado_mercado,descripcion
6342,2023-06-19,Chalet,A Coruña,58,4.0,3,0,G,176917.0,Reservado,Espectacular chalet con vistas despejadas. Mejor ver.
10139,2023-07-09,Piso,A Coruña,96,2.0,1,False,D,356889.0,Disponible,Fantástico piso a pocos minutos del centro. Mejor ver.
19527,2023-11-04,Chalet,A Coruña,98,3.0,1,0,D,381400.0,Disponible,Acogedor chalet con vistas despejadas. Ideal para inversión.
821,2023-02-14,Dúplex,A Coruña,74,4.0,3,False,B,206935.0,Disponible,Magnífico dúplex en barrio consolidado. Ideal familias.
1947,2023-09-04,Piso,A Coruña,105,3.0,3,No,A,415193.0,Vendido,Amplio piso en barrio consolidado. Con excelentes calidades.
9753,2023-02-14,Piso,A Coruña,100,2.0,1,1,B,335260.0,Reservado,Magnífico piso cerca de transporte público. Mejor ver.
17398,2023-10-25,Chalet,A Coruña,49,1.0,1,No,E,168913.0,Disponible,Magnífico chalet en zona residencial tranquila. No pierdas esta oportunidad.
10697,2023-09-11,Estudio,A Coruña,138,3.0,3,False,En trámite,394154.0,Disponible,Fantástico estudio en zona residencial tranquila. Mejor ver.
19024,2023-10-03,Ático,A Coruña,75,4.0,2,True,G,298894.0,Vendido,Amplio ático a pocos minutos del centro. Ideal para inversión.
6167,2023-07-22,Piso,A Coruña,104,3.0,3,Sí,G,329894.0,Disponible,Exclusivo piso cerca de transporte público. Alta rentabilidad.
17345,2023-02-16,Piso,A Coruña,151,3.0,2,Sí,A,520362.0,Reservado,Precioso piso en barrio consolidado. Mejor ver.
1691,2023-04-28,Piso,A Coruña,106,4.0,1,Sí,B,254854.0,Vendido,Acogedor piso en barrio consolidado. Ideal para inversión.
10995,2023-11-05,Ático,A Coruña,134,4.0,2,Sí,F,409076.0,Disponible,Magnífico ático a pocos minutos del centro. Alta rentabilidad.
15926,2023-08-11,Ático,A Coruña,87,3.0,2,0,En trámite,250749.0,Disponible,Precioso ático cerca de transporte público. Listo para entrar a vivir.
15496,2023-09-27,Dúplex,A Coruña,125,3.0,2,Sí,G,449126.0,Reservado,Acogedor dúplex en pleno centro. Alta rentabilidad.
529,2023-08-09,Piso,A Coruña,74,2.0,1,Sí,G,198126.0,Disponible,Espectacular piso en pleno centro. Ideal para inversión.
12893,2023-03-26,Piso,A Coruña,109,3.0,3,1,En trámite,423842.0,Disponible,Fantástico piso cerca de transporte público. Ideal para inversión.
3166,2023-07-14,Piso,A Coruña,172,2.0,1,False,F,441645.0,Vendido,Espectacular piso con orientación sur. Con excelentes calidades.
8448,2023-03-31,Ático,A Coruña,72,4.0,2,Sí,G,144499.0,Reservado,Precioso ático en barrio consolidado. Ideal familias.
9447,2023-12-10,Estudio,A Coruña,74,2.0,1,1,E,237011.0,Vendido,Acogedor estudio en pleno centro. Ideal para inversión.
9383,2023-05-17,Piso,A Coruña,42,1.0,1,Sí,En trámite,161020.0,Reservado,Luminoso piso en barrio consolidado. Con excelentes calidades.
15835,2023-06-24,,A Coruña,79,3.0,2,False,C,255330.0,,Espectacular dúplex en barrio consolidado. Alta rentabilidad.
2181,2023-07-23,Piso,A Coruña,111,4.0,2,No,En trámite,421497.0,Reservado,Acogedor piso en pleno centro. Alta rentabilidad.
18741,2023-09-19,Piso,A Coruña,86,3.0,1,1,E,176539.0,Disponible,Fantástico piso en zona residencial tranquila. Listo para entrar a vivir.
16302,2023-12-19,Chalet,A Coruña,50,3.0,2,1,G,181209.0,Disponible,Precioso chalet con orientación sur. Con excelentes calidades.
7009,2023-09-22,Piso,A Coruña,146,2.0,1,0,En trámite,364152.0,Reservado,Espectacular piso en pleno centro. No pierdas esta oportunidad.
11229,2023-03-30,Piso,A Coruña,149,2.0,1,True,D,449524.0,Vendido,Amplio piso cerca de transporte público. No pierdas esta oportunidad.
15227,2023-07-10,Piso,A Coruña,91,4.0,2,1,E,332165.0,Reservado,Exclusivo piso con vistas despejadas. Ideal para inversión.
1084,2023-12-03,Ático,,52,2.0,1,1,D,184802.0,Disponible,Espectacular ático en pleno centro. Ideal para inversión.
14576,2023-06-22,Piso,,87,2.0,1,0,E,253795.0,Reservado,Amplio piso en barrio consolidado. Mejor ver.
19003,2023-04-17,Piso,A Coruña,41,1.0,1,1,B,155392.0,Disponible,Magnífico piso con vistas despejadas. Mejor ver.
11429,2023-06-07,Piso,A Coruña,183,3.0,3,0,A,509641.0,Vendido,Precioso piso a pocos minutos del centro. No pierdas esta oportunidad.
18989,2023-05-10,Piso,A Coruña,127,3.0,3,True,F,335840.0,Reservado,Magnífico piso con orientación sur. Alta rentabilidad.
9148,2023-03-24,Piso,A Coruña,149,4.0,1,True,G,514310.0,Reservado,Precioso piso en barrio consolidado. Con excelentes calidades.
13035,2023-07-25,Piso,A Coruña,55,4.0,3,0,E,130191.0,Reservado,Precioso piso a pocos minutos del centro. No pierdas esta oportunidad.
1883,2023-07-05,Chalet,A Coruña,81,4.0,3,Sí,B,197668.0,Reservado,Amplio chalet con vistas despejadas. Mejor ver. ¡¡OFERTA 100%!!
19018,2023-06-29,Piso,A Coruña,93,4.0,3,False,En trámite,370129.0,Vendido,Fantástico piso con orientación sur. Ideal familias.
3295,2023-05-30,Estudio,A Coruña,103,3.0,3,1,F,284378.0,Disponible,Fantástico estudio en zona residencial tranquila. Listo para entrar a vivir.
6349,2023-10-06,Piso,A Coruña,115,4.0,3,1,A,339151.0,Disponible,Espectacular piso cerca de transporte público. Con excelentes calidades.
14838,2023-03-09,Dúplex,A Coruña,91,4.0,1,1,E,197073.0,Reservado,Luminoso dúplex cerca de transporte público. Con excelentes calidades.
243,2023-05-23,Ático,A Coruña,109,2.0,1,0,E,29414775.0,Vendido,Magnífico ático en zona residencial tranquila. Ideal familias.
17252,2023-08-14,Piso,A Coruña,56,3.0,1,False,D,136548.0,Vendido,Exclusivo piso con orientación sur. Con excelentes calidades.
4220,2023-12-06,Piso,A Coruña,96,3.0,1,False,En trámite,254567.0,Disponible,Exclusivo piso con vistas despejadas. Listo para entrar a vivir.
14609,2023-10-05,Piso,A Coruña,75,3.0,3,1,A,244103.0,Disponible,Acogedor piso en barrio consolidado. Con excelentes calidades.
7237,2023-06-07,Chalet,A Coruña,79,3.0,1,True,B,252271.0,Vendido,Amplio chalet cerca de transporte público. Con excelentes calidades.
2918,2023-06-19,Dúplex,A Coruña,87,4.0,1,1,F,275321.0,Disponible,Exclusivo dúplex cerca de transporte público. No pierdas esta oportunidad.
18944,2023-07-11,Ático,,117,2.0,1,No,E,386890.0,Disponible,Magnífico ático en pleno centro. No pierdas esta oportunidad.
10390,2023-04-18,Ático,A Coruña,70,,2,1,A,232450.0,Disponible,Espectacular ático cerca de transporte público. Ideal familias.
7015,2023-07-23,Piso,A Coruña,147,2.0,1,Sí,En trámite,479248.0,Disponible,Espectacular piso en pleno centro. Mejor ver.
17277,2023-06-30,Piso,A Coruña,81,4.0,3,No,D,270532.0,Vendido,Acogedor piso a pocos minutos del centro. Con excelentes calidades.
2422,2023-08-19,Piso,A Coruña,101,4.0,1,No,F,366613.0,Reservado,Luminoso piso con orientación sur. No pierdas esta oportunidad.
3385,2023-12-23,Piso,A Coruña,129,2.0,1,Sí,F,432954.0,Vendido,Amplio piso en pleno centro. Listo para entrar a vivir.
6199,2023-11-13,Piso,A Coruña,64,2.0,1,0,E,171139.0,Disponible,Luminoso piso cerca de transporte público. Alta rentabilidad.
906,2023-06-04,Ático,A Coruña,32,1.0,1,Sí,F,105208.0,Reservado,Luminoso ático en zona residencial tranquila. Alta rentabilidad.
13148,2023-06-28,,A Coruña,87,3.0,1,1,B,288283.0,Reservado,Fantástico chalet cerca de transporte público. Listo para entrar a vivir.
15376,2023-06-29,Chalet,A Coruña,42,1.0,1,False,E,157269.0,Disponible,Acogedor chalet en barrio consolidado. Ideal para inversión.
965,2023-11-09,Piso,A Coruña,97,2.0,1,1,C,255928.0,Reservado,Fantástico piso en barrio consolidado. Ideal para inversión.
13136,2023-09-26,Estudio,A Coruña,136,4.0,2,0,G,527560.0,Vendido,Luminoso estudio cerca de transporte público. Alta rentabilidad.
13426,2023-06-25,,A Coruña,30,1.0,1,0,A,83251.0,,Magnífico dúplex en barrio consolidado. Con excelentes calidades.
7974,2023-03-13,,A Coruña,106,2.0,1,1,D,412857.0,Disponible,Amplio ático cerca de transporte público. Ideal familias.
10541,2023-11-17,Piso,A Coruña,85,2.0,1,0,C,338303.0,Disponible,Espectacular piso en zona residencial tranquila. Listo para entrar a vivir.
19627,2023-04-11,Piso,A Coruña,68,3.0,3,No,E,162212.0,Disponible,Luminoso piso con vistas despejadas. Ideal familias.
2189,2023-09-13,Dúplex,A Coruña,118,2.0,1,0,D,457507.0,Disponible,Magnífico dúplex con orientación sur. No pierdas esta oportunidad.
5647,2023-04-19,Piso,A Coruña,156,4.0,2,No,G,546339.0,Disponible,Amplio piso en zona residencial tranquila. Alta rentabilidad.
12794,2023-08-24,Estudio,A Coruña,92,3.0,3,No,G,215278.0,Vendido,Espectacular estudio en barrio consolidado. Mejor ver.
19045,2023-02-18,Piso,A Coruña,106,2.0,1,0,A,326644.0,Vendido,Espectacular piso en barrio consolidado. Ideal familias.
5159,2023-10-11,Piso,A Coruña,79,2.0,1,True,G,170819.0,Disponible,Espectacular piso a pocos minutos del centro. Ideal para inversión.
18367,2023-07-24,Ático,A Coruña,,4.0,1,No,En trámite,466035.0,Vendido,Fantástico ático con orientación sur. Mejor ver.
12968,2023-04-29,Chalet,A Coruña,88,4.0,2,0,F,182601.0,Disponible,Fantástico chalet en barrio consolidado. Listo para entrar a vivir.
13670,2023-10-23,,A Coruña,98,2.0,1,True,D,327839.0,Disponible,Exclusivo ático en barrio consolidado. Ideal para inversión.
9434,2023-07-01,Piso,A Coruña,140,4.0,1,No,A,521495.0,Vendido,Magnífico piso en pleno centro. Listo para entrar a vivir.
10401,2023-01-03,Piso,A Coruña,126,4.0,2,No,G,335726.0,Vendido,Magnífico piso con vistas despejadas. Con excelentes calidades.
9751,2023-10-03,Piso,A Coruña,102,4.0,1,1,B,232715.0,Disponible,Amplio piso cerca de transporte público. Con excelentes calidades.
5340,2023-01-13,Piso,A Coruña,62,2.0,1,No,E,246903.0,Vendido,Magnífico piso en barrio consolidado. Listo para entrar a vivir.
16481,2023-11-04,Piso,A Coruña,45,1.0,1,False,A,104238.0,Reservado,Acogedor piso en zona residencial tranquila. Listo para entrar a vivir.
19188,2023-03-10,Piso,A Coruña,89,4.0,3,0,F,309335.0,Vendido,Luminoso piso cerca de transporte público. Mejor ver.
18087,2023-03-17,Piso,A Coruña,113,3.0,1,No,C,359471.0,Vendido,Exclusivo piso en barrio consolidado. Ideal familias.
7514,2023-08-26,Piso,A Coruña,129,2.0,1,Sí,E,410751.0,Reservado,Luminoso piso con vistas despejadas. Alta rentabilidad.
19995,2023-02-12,Ático,A Coruña,51,2.0,1,0,F,188574.0,Disponible,Precioso ático en barrio consolidado. Ideal para inversión.
6547,2023-06-05,Piso,A Coruña,104,3.0,3,No,D,304001.0,Disponible,Luminoso piso en barrio consolidado. Listo para entrar a vivir.
11860,2023-01-18,Dúplex,A Coruña,109,4.0,2,1,C,271370.0,Disponible,Espectacular dúplex a pocos minutos del centro. Alta rentabilidad.
19009,2023-11-22,Piso,A Coruña,124,3.0,2,1,E,288203.0,Vendido,Acogedor piso cerca de transporte público. Ideal familias.
2271,2023-09-15,Piso,A Coruña,79,4.0,1,False,D,304915.0,Vendido,Acogedor piso con orientación sur. Mejor ver.
3050,2023-05-27,Piso,A Coruña,91,3.0,3,Sí,F,304219.0,Reservado,Precioso piso a pocos minutos del centro. Alta rentabilidad.
2903,2023-06-03,Piso,A Coruña,94,3.0,2,Sí,En trámite,205657.0,Vendido,Acogedor piso en pleno centro. Ideal para inversión.
19090,2023-03-25,Dúplex,,97,4.0,1,Sí,D,370369.0,Reservado,Espectacular dúplex a pocos minutos del centro. Ideal familias.
389,2023-12-01,Dúplex,A Coruña,69,3.0,1,0,D,246214.0,,Magnífico dúplex en zona residencial tranquila. Alta rentabilidad.
16569,2023-08-19,Estudio,A Coruña,81,4.0,1,True,D,291608.0,Vendido,Espectacular estudio en barrio consolidado. Ideal familias.
12540,2023-11-20,Piso,A Coruña,103,3.0,3,0,F,336544.0,Vendido,Exclusivo piso con orientación sur. Listo para entrar a vivir.
19371,2023-09-12,Piso,A Coruña,115,3.0,2,Sí,D,293154.0,Reservado,Precioso piso en pleno centro. Mejor ver.
13927,2023-12-14,Piso,A Coruña,126,2.0,1,True,B,446145.0,Reservado,Exclusivo piso con orientación sur. Listo para entrar a vivir.
19394,2023-09-11,Chalet,A Coruña,127,4.0,2,True,E,424792.0,Vendido,Acogedor chalet con orientación sur. No pierdas esta oportunidad.
13410,2023-08-03,Dúplex,A Coruña,65,2.0,1,1,B,203040.0,Disponible,Exclusivo dúplex con orientación sur. Mejor ver.
18475,2023-06-10,Ático,A Coruña,72,2.0,1,Sí,A,238369.0,Disponible,Amplio ático en zona residencial tranquila. Con excelentes calidades.
11895,2023-10-21,Piso,A Coruña,92,3.0,2,True,F,219004.0,Disponible,Espectacular piso con vistas despejadas. Con excelentes calidades.
3749,2023-05-22,Piso,A Coruña,64,4.0,1,1,D,130250.0,Reservado,Exclusivo piso con vistas despejadas. Ideal para inversión.
16880,2023-03-22,Piso,A Coruña,109,4.0,2,No,G,319182.0,Disponible,Precioso piso a pocos minutos del centro. Listo para entrar a vivir.
9158,2023-01-15,Chalet,A Coruña,62,2.0,1,False,C,204751.0,Vendido,Amplio chalet cerca de transporte público. Con excelentes calidades.
17104,2023-06-03,Piso,,66,4.0,1,Sí,D,138254.0,Reservado,Amplio piso con orientación sur. Alta rentabilidad.
19569,2023-04-28,Piso,A Coruña,91,2.0,1,No,G,191328.0,Vendido,Acogedor piso cerca de transporte público. Ideal para inversión.
767,2023-10-24,Dúplex,A Coruña,94,3.0,3,0,F,367348.0,Vendido,Magnífico dúplex con vistas despejadas. Con excelentes calidades.
780,2023-02-22,Chalet,A Coruña,30,1.0,1,False,A,74366.0,Reservado,Amplio chalet con orientación sur. Con excelentes calidades.
19865,2023-08-24,Dúplex,A Coruña,62,3.0,2,1,G,155852.0,Disponible,Luminoso dúplex en pleno centro. Ideal familias.
9126,2023-10-17,Estudio,A Coruña,128,3.0,3,Sí,G,466841.0,Disponible,Magnífico estudio en pleno centro. Con excelentes calidades.
4549,2023-04-09,Chalet,A Coruña,75,3.0,2,True,E,299571.0,Reservado,Amplio chalet en pleno centro. No pierdas esta oportunidad.
7537,2023-11-22,Dúplex,A Coruña,,3.0,3,1,F,151733.0,Disponible,Luminoso dúplex en zona residencial tranquila. Ideal familias.
17426,2023-09-01,Piso,A Coruña,96,3.0,1,1,C,319638.0,Disponible,Espectacular piso con vistas despejadas. No pierdas esta oportunidad.
7929,2023-02-05,Dúplex,A Coruña,95,4.0,1,0,En trámite,272336.0,Reservado,Amplio dúplex cerca de transporte público. Ideal familias.
13307,2023-03-29,Piso,A Coruña,83,2.0,1,0,E,305289.0,Reservado,Luminoso piso a pocos minutos del centro. Mejor ver.
10414,2023-11-30,Piso,A Coruña,49,1.0,1,0,En trámite,120306.0,Reservado,Exclusivo piso en barrio consolidado. Listo para entrar a vivir.
3316,2023-10-01,Chalet,A Coruña,123,4.0,3,False,E,426724.0,Vendido,Luminoso chalet con orientación sur. Alta rentabilidad.
18161,2023-12-04,Chalet,A Coruña,98,4.0,1,No,E,270145.0,Disponible,Magnífico chalet en barrio consolidado. Mejor ver.
19666,2023-08-25,Chalet,A Coruña,66,4.0,1,1,C,148436.0,Reservado,Precioso chalet con vistas despejadas. Ideal familias.
17986,2023-11-26,Piso,A Coruña,73,3.0,3,False,G,150272.0,Reservado,Magnífico piso cerca de transporte público. Con excelentes calidades.
7659,2023-09-27,Piso,A Coruña,131,2.0,1,False,G,384009.0,Disponible,Precioso piso con vistas despejadas. Ideal para inversión.
2698,2023-02-01,Piso,A Coruña,98,4.0,1,1,E,366022.0,Disponible,Fantástico piso con vistas despejadas. Mejor ver.
8118,2023-02-18,Piso,A Coruña,130,4.0,3,0,G,458309.0,Disponible,Fantástico piso en barrio consolidado. Ideal para inversión.
5607,2023-11-29,Ático,A Coruña,90,2.0,1,0,E,293125.0,Reservado,Precioso ático en barrio consolidado. Mejor ver.
12679,2023-06-30,Chalet,A Coruña,78,3.0,2,0,D,248940.0,Vendido,Luminoso chalet con orientación sur. Ideal para inversión.
7385,2023-10-09,Chalet,A Coruña,117,2.0,1,False,F,422371.0,Reservado,Luminoso chalet en barrio consolidado. Con excelentes calidades.
3502,2023-03-11,Dúplex,A Coruña,45,1.0,1,1,G,141887.0,Disponible,Acogedor dúplex con orientación sur. Ideal para inversión.
9436,2023-12-10,Piso,A Coruña,53,4.0,1,Sí,E,146486.0,Disponible,Espectacular piso en pleno centro. No pierdas esta oportunidad.
12201,2023-05-29,Piso,A Coruña,90,3.0,1,Sí,B,341015.0,Disponible,Amplio piso cerca de transporte público. Mejor ver.
1353,2023-10-13,Piso,A Coruña,79,4.0,2,Sí,F,169606.0,Vendido,Luminoso piso en pleno centro. No pierdas esta oportunidad.
2069,2023-11-26,Piso,A Coruña,160,2.0,1,Sí,D,322353.0,Vendido,Espectacular piso cerca de transporte público. Mejor ver.
19651,2023-09-14,Piso,A Coruña,73,3.0,1,False,C,158020.0,,Luminoso piso cerca de transporte público. Ideal familias.
14052,2023-08-07,Piso,A Coruña,82,4.0,2,No,En trámite,181414.0,Vendido,Magnífico piso con vistas despejadas. No pierdas esta oportunidad.
16040,2023-03-08,Piso,A Coruña,123,3.0,1,Sí,E,489612.0,Vendido,Exclusivo piso en pleno centro. Ideal familias.
8929,2023-02-09,Piso,A Coruña,87,4.0,1,1,F,275215.0,Disponible,Precioso piso con vistas despejadas. Alta rentabilidad.
16256,2023-11-07,Estudio,A Coruña,47,1.0,1,1,E,178413.0,Vendido,Precioso estudio con vistas despejadas. Mejor ver.
5123,2023-10-27,Piso,A Coruña,79,2.0,1,True,En trámite,191220.0,Reservado,Precioso piso en barrio consolidado. Con excelentes calidades.
9832,2023-11-05,Ático,A Coruña,60,3.0,2,1,D,186382.0,Disponible,Precioso ático a pocos minutos del centro. Ideal familias.
450,2023-04-18,Piso,A Coruña,140,4.0,1,0,F,495210.0,Reservado,Acogedor piso cerca de transporte público. Ideal familias.
13536,2023-04-20,Piso,A Coruña,117,2.0,1,No,F,368907.0,Disponible,Luminoso piso con orientación sur. Alta rentabilidad.
19289,2023-11-06,Ático,A Coruña,115,2.0,1,No,En trámite,255122.0,Disponible,Precioso ático en barrio consolidado. Ideal para inversión.
11106,2023-08-19,Piso,A Coruña,74,3.0,1,1,F,217865.0,Vendido,Luminoso piso cerca de transporte público. Mejor ver.
14862,2023-07-29,Piso,A Coruña,133,3.0,2,False,F,517064.0,,Amplio piso con vistas despejadas. No pierdas esta oportunidad.
11234,2023-01-07,Chalet,A Coruña,60,3.0,1,False,E,124142.0,Disponible,Luminoso chalet en zona residencial tranquila. Ideal familias.
797,2023-01-07,Ático,A Coruña,110,4.0,3,Sí,D,403945.0,Disponible,Precioso ático con vistas despejadas. Listo para entrar a vivir.
12484,2023-12-17,Piso,A Coruña,106,2.0,1,1,B,314632.0,Reservado,Espectacular piso cerca de transporte público. Con excelentes calidades.
13295,2023-05-04,Piso,A Coruña,77,3.0,3,0,F,251248.0,Vendido,Espectacular piso con orientación sur. Ideal para inversión.
7279,2023-10-23,Dúplex,A Coruña,100,4.0,1,True,A,355245.0,,Espectacular dúplex en zona residencial tranquila. Ideal familias.
19880,2023-12-08,Piso,A Coruña,30,1.0,1,1,B,62755.0,Disponible,Fantástico piso a pocos minutos del centro. Listo para entrar a vivir.
1190,2023-09-27,Chalet,A Coruña,37,1.0,1,False,A,93767.0,Reservado,Precioso chalet con vistas despejadas. Listo para entrar a vivir.
18681,2023-07-08,Piso,A Coruña,110,4.0,2,No,A,347885.0,Vendido,Fantástico piso con orientación sur. Con excelentes calidades.
17694,2023-01-25,Piso,A Coruña,105,3.0,1,No,B,283811.0,Disponible,Magnífico piso en pleno centro. Listo para entrar a vivir.
5334,2023-07-15,Piso,A Coruña,54,2.0,1,Sí,En trámite,163489.0,Disponible,Exclusivo piso en barrio consolidado. Alta rentabilidad.
12588,2023-03-17,Dúplex,A Coruña,89,3.0,1,No,D,333242.0,,Magnífico dúplex cerca de transporte público. No pierdas esta oportunidad.
19274,2023-10-15,,A Coruña,82,2.0,1,True,D,269304.0,Reservado,Exclusivo piso en pleno centro. Con excelentes calidades.
9000,2023-06-28,Ático,A Coruña,96,4.0,1,1,A,323846.0,Disponible,Acogedor ático a pocos minutos del centro. Ideal para inversión.
3226,2023-05-18,Ático,A Coruña,44,1.0,1,Sí,F,95698.0,Vendido,Acogedor ático en zona residencial tranquila. Con excelentes calidades.
